brand_name,size,min,max,mean,median
apple,46,29990,182999,95966.52,84994.5
asus,7,39999,107990,74709.43,72999.0
blackview,1,8990,8990,8990.0,8990.0
blu,1,14990,14990,14990.0,14990.0
cat,1,14999,14999,14999.0,14999.0
cola,1,14999,14999,14999.0,14999.0
doogee,2,14999,45999,30499.0,30499.0
duoqin,1,9990,9990,9990.0,9990.0
gionee,3,6190,7499,6896.0,6999.0
google,14,15990,81999,44332.57,38240.0
honor,13,9999,94990,30301.85,24990.0
huawei,16,10949,239999,80177.25,45494.5
ikall,3,6799,8099,7632.33,7999.0
infinix,29,6999,36999,14664.79,12999.0
iqoo,32,13989,64999,30301.88,26499.0
itel,10,3999,6990,5811.0,5940.0
jio,4,4499,11990,7159.25,6074.0
lava,4,6999,17990,11246.75,9999.0
leeco,1,10999,10999,10999.0,10999.0
leitz,1,124990,124990,124990.0,124990.0
lenovo,2,46990,59999,53494.5,53494.5
letv,3,5499,6999,6165.67,5999.0
lg,3,54999,79990,63329.33,54999.0
lyf,2,3890,3990,3940.0,3940.0
micromax,3,5999,7790,6929.33,6999.0
motorola,52,7990,59999,24099.92,19744.5
nokia,13,5249,49990,24630.77,17990.0
nothing,5,24990,39990,31195.4,28249.0
nubia,6,34999,60999,49827.83,48490.0
oneplus,42,14999,74999,35858.57,29994.5
oppo,88,8999,134999,29650.03,20494.5
oukitel,3,22990,29990,26293.0,25899.0
poco,41,6499,42999,18479.2,14999.0
realme,97,3499,49959,17461.42,14999.0
redmi,3,7999,19999,15665.67,18999.0
royole,2,109999,149999,129999.0,129999.0
samsung,132,4999,163980,36843.03,22746.5
sharp,1,59990,59990,59990.0,59990.0
sony,9,15990,134999,60570.67,69990.0
tcl,1,8990,8990,8990.0,8990.0
tecno,33,6249,49999,14545.36,11499.0
tesla,1,69999,69999,69999.0,69999.0
vertu,1,650000,650000,650000.0,650000.0
vivo,111,7499,119990,26782.39,19990.0
xiaomi,134,6171,480000,27961.11,17924.5
zte,2,19999,61990,40994.5,40994.5
